time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.80859344777e-08,-1.03639981681e-07,10.0057638225,6.28298195776,6.28316366095,0.0,1.84308822038e-06,-1.40012584528e-05,0.192113940286,-0.0112163172924,-0.00109232151854,0.0,464.5356982750217,464.450059547499,466.3644340186611,465.487750622703
0.12000000000000001,9.02990924268e-07,-7.32065791036e-06,10.0214365986,6.28288431323,6.2830467977,0.0,3.7409876786e-05,-0.000262885201118,0.330281383787,0.0127604986912,-0.0037160159006,0.0,449.2621766091229,449.04947153586016,447.67323269300954,449.6196706356586
0.18,7.26942372688e-06,-2.5115895201e-05,10.046824637,0.00145974510186,6.28288192472,0.0,0.000196956869866,-0.000171728082197,0.515920568962,0.0505881930129,-0.000878576108312,0.0,463.6508150563903,463.87370474094973,461.58311074666636,464.5584796311952
0.23999999999999996,2.5889677946e-05,8.14877848584e-06,10.0815445554,0.00473724872763,6.28262992044,0.0,0.000438752724249,0.00161536633958,0.641346640858,0.0616721214507,-0.0118457702781,0.0,446.03785121733773,445.1414972686998,444.33974955838,445.24930811671163
0.3,7.1103422541e-05,0.000254950998794,10.1299589618,0.00864330259327,6.28197800654,0.0,0.00116091750041,0.00712914652513,0.972242204328,0.071199068484,-0.00897292324314,0.0,504.4171559471792,504.62468666116337,505.82888303285864,506.51693067628986
0.36000000000000004,0.000167246724146,0.000873578114227,10.1908761687,0.0126462111927,6.28139171298,0.0,0.0020999069406,0.0139064788465,1.05825102485,0.0557681391973,-0.0114186850159,0.0,433.20481248686525,432.99925275096393,434.3787937910989,433.0863705963585
0.4200000000000001,0.000340707173485,0.00204658187881,10.2622177027,0.0162078346047,6.28156440539,0.0,0.00370208928379,0.0256258994125,1.31952961372,0.0657171887807,0.022106779472,0.0,485.8321973712732,488.3391062622722,485.598994316468,486.3467769738659
0.48000000000000015,0.000590528345499,0.00392894811835,10.3440915075,0.0200215259974,6.2831850757,0.0,0.00447553571448,0.0375080303732,1.40948345234,0.0588605871591,0.0353558563521,0.0,435.3598494571429,436.4670711346829,435.32345179865075,434.7524157548136
0.5400000000000001,0.00085106241903,0.00659192253727,10.4309487253,0.023607353209,0.00164850516472,0.0,0.00401471247488,0.051606238236,1.48565304838,0.0615108717071,0.00300806604649,0.0,432.17507319280725,429.44036433714285,431.692241435135,431.9184287897106
0.6000000000000002,0.00105489719855,0.0102007302203,10.5235207017,0.0273451070342,0.00284445457483,0.0,0.00269555517936,0.0690702581299,1.59991596536,0.0638207715282,0.0414592833779,0.0,441.42062524839315,444.5821104899358,444.1947347898279,444.38690205216153
0.6600000000000003,0.00113984684835,0.0149959008141,10.6250601641,0.030958037804,0.0054059963081,0.0,-0.000152308055916,0.0911884587222,1.7844489006,0.0518054323878,0.0450503725253,0.0,465.3429081857824,465.6248165693457,465.9977972293082,465.0600560418485
0.7200000000000003,0.000994876951529,0.0211927814003,10.7374624599,0.0343514960785,0.00804991081925,0.0,-0.00498189402694,0.115735255785,1.96199148851,0.0646777670566,0.0420190048742,0.0,464.1906549745482,463.95373642296283,463.4493785040786,464.46196372716656
0.7800000000000004,0.000534731503019,0.028800968736,10.8564383755,0.0387418135172,0.0101601544845,0.0,-0.0105774233099,0.138257858732,2.00378220676,0.0862679323075,0.0157095955701,0.0,424.1030440429854,421.8379157813909,420.1141431200514,421.986238669346
0.8400000000000004,-0.000373045269259,0.0381468395182,10.9854085925,0.0449088644644,0.0106880846265,0.0,-0.0197797448202,0.174003271347,2.29465298745,0.123958745725,-0.0109430503078,0.0,498.744652441676,496.7942730294577,496.1789613692946,498.94550334538417
0.9000000000000005,-0.00180474207698,0.0496592749729,11.1285821172,0.0519157946081,0.0100292354288,0.0,-0.0278642247246,0.210559004177,2.47737668172,0.0958728895508,-0.011056466419,0.0,467.6905835828547,467.6818813100147,468.63099957747016,466.45395233331584
0.9600000000000005,-0.00367176681429,0.0633367260789,11.2792264665,0.0587782482003,0.00951357036283,0.0,-0.0343115508904,0.245973355932,2.5439169699,0.137152459158,-0.00407628383189,0.0,432.3416373979873,432.92945331054256,430.61451646806006,434.1034287029467
1.0200000000000005,-0.00596724670466,0.0796020730213,11.4391688646,0.0670978228865,0.00891225818119,0.0,-0.0421518127054,0.29718885254,2.78686512918,0.141512122279,-0.0258716678095,0.0,487.01610935315944,485.3833183060528,486.62590905577184,486.96811825058023
1.0800000000000005,-0.00869771477722,0.0990350016888,11.6120141968,0.0757787635526,0.00732696888543,0.0,-0.0486791035755,0.351528806403,2.97409850433,0.15036294738,-0.02754428842,0.0,471.2834041258618,471.1540019088354,471.50522837761343,472.2066707984901
1.1400000000000006,-0.0117776535132,0.121854895898,11.7950798535,0.0848250786041,0.00696986461624,0.0,-0.0538917870768,0.410093312853,3.12758989978,0.151576573321,0.0191012092738,0.0,460.44468688888503,464.1202248984081,462.8053778763254,462.9212886901184
1.2000000000000006,-0.015154232535,0.148181310201,11.9849299232,0.0935472926038,0.00789915738001,0.0,-0.058762516033,0.468310419266,3.20044860898,0.128561858057,0.00705287261821,0.0,439.5642426171405,438.564546767168,439.05853928888,437.1646414391496
1.2600000000000007,-0.0188091423994,0.177814210603,12.1754173369,0.100878024072,0.0080261708831,0.0,-0.0630928657782,0.520065354453,3.14919897678,0.10467294706,-0.010250936105,0.0,398.9338063313163,397.350556268865,398.2462899369947,396.0701995155581
